Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/1/1,0.7399999999999999
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/2/1,0.75
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/3/1,0.53
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/4/1,0.65
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/5/1,0.33
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/6/1,0.19
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/7/1,0.1
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/8/1,0.07
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/9/1,0.06
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/10/1,0.05
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/11/1,0.04
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2020/12/1,0.03
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/1/1,0.03
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/2/1,0.05
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/3/1,0.08
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/4/1,0.09
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/5/1,0.08
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/6/1,0.08
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/7/1,0.08
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/8/1,0.07
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/9/1,0.07
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/10/1,0.16
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/11/1,0.13
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2021/12/1,0.16
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/1/1,0.53
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/2/1,0.81
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/3/1,0.99
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/4/1,1.13
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/5/1,1.31
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/6/1,1.57
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/7/1,1.84
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/8/1,2.23
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/9/1,2.91
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/10/1,3.39
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/11/1,3.52
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2022/12/1,3.78
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/1/1,4.01
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/2/1,4.21
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/3/1,4.33
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/4/1,4.52
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/5/1,4.73
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/6/1,5.09
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/7/1,5.49
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/8/1,5.53
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/9/1,5.52
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/10/1,5.4
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/11/1,5.36
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2023/12/1,5.22
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/1/1,5.2
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/2/1,5.21
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/3/1,5.2
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/4/1,5.18
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/5/1,5.16
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/6/1,5.16
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/7/1,5.09
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/8/1,4.91
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/9/1,4.84
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/10/1,4.75
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/11/1,4.68
UK,Interest Rate,Deposit Interest Rate,Monthly,Percentage (%),2024/12/1,4.64
