Pair,Year,Quarter,Avg_Open,Avg_Close,Avg_Change
GBPUSD=X,2020,1,1.280911,1.281065,1.23E-4
GBPUSD=X,2020,2,1.24166,1.24171,4.0E-5
GBPUSD=X,2020,3,1.291423,1.291404,-1.5E-5
GBPUSD=X,2020,4,1.320938,1.320963,1.9E-5
GBPUSD=X,2021,1,1.379154,1.379169,1.0E-5
GBPUSD=X,2021,2,1.398357,1.398394,2.6E-5
GBPUSD=X,2021,3,1.378485,1.378497,9.0E-6
GBPUSD=X,2021,4,1.348126,1.348092,-2.5E-5
GBPUSD=X,2022,1,1.341679,1.341711,2.3E-5
GBPUSD=X,2022,2,1.257708,1.257704,-4.0E-6
GBPUSD=X,2022,3,1.178054,1.178024,-2.4E-5
GBPUSD=X,2022,4,1.173788,1.173789,2.0E-6
GBPUSD=X,2023,1,1.215478,1.21551,2.6E-5
GBPUSD=X,2023,2,1.251914,1.251865,-3.9E-5
GBPUSD=X,2023,3,1.266777,1.266765,-1.0E-5
GBPUSD=X,2023,4,1.241162,1.241152,-8.0E-6
GBPUSD=X,2024,1,1.268511,1.268518,6.0E-6
GBPUSD=X,2024,2,1.262215,1.262221,5.0E-6
GBPUSD=X,2024,3,1.299298,1.2993,1.0E-6
GBPUSD=X,2024,4,1.283086,1.283098,9.0E-6
USDCNY=X,2020,1,6.979369,6.979366,0.0
USDCNY=X,2020,2,7.085222,7.085228,1.0E-6
USDCNY=X,2020,3,6.920149,6.920149,0.0
USDCNY=X,2020,4,6.625615,6.625555,-9.0E-6
USDCNY=X,2021,1,6.481506,6.481628,1.9E-5
USDCNY=X,2021,2,6.459025,6.459003,-3.0E-6
USDCNY=X,2021,3,6.469233,6.469235,0.0
USDCNY=X,2021,4,6.392455,6.392444,-2.0E-6
USDCNY=X,2022,1,6.346219,6.346438,3.5E-5
USDCNY=X,2022,2,6.605043,6.605043,0.0
USDCNY=X,2022,3,6.844626,6.844626,0.0
USDCNY=X,2022,4,7.113705,7.113705,0.0
USDCNY=X,2023,1,6.841862,6.841862,0.0
USDCNY=X,2023,2,7.010046,7.010046,0.0
USDCNY=X,2023,3,7.233555,7.233555,0.0
USDCNY=X,2023,4,7.201148,7.201148,0.0
USDCNY=X,2024,1,7.151065,7.151065,0.0
USDCNY=X,2024,2,7.239237,7.239237,0.0
USDCNY=X,2024,3,7.165958,7.167817,2.6E-4
USDCNY=X,2024,4,7.185355,7.185178,-2.4E-5
USDJPY=X,2020,1,108.917293,108.910816,-6.1E-5
USDJPY=X,2020,2,107.548477,107.549353,8.0E-6
USDJPY=X,2020,3,106.166757,106.169379,2.4E-5
USDJPY=X,2020,4,104.480485,104.480576,1.0E-6
USDJPY=X,2021,1,105.939328,105.936672,-2.6E-5
USDJPY=X,2021,2,109.455923,109.456215,3.0E-6
USDJPY=X,2021,3,110.077848,110.079939,1.9E-5
USDJPY=X,2021,4,113.709591,113.706637,-2.6E-5
USDJPY=X,2022,1,116.278797,116.281297,2.1E-5
USDJPY=X,2022,2,129.656184,129.656184,0.0
USDJPY=X,2022,3,138.238257,138.236591,-1.2E-5
USDJPY=X,2022,4,141.439676,141.446907,5.4E-5
USDJPY=X,2023,1,132.323309,132.322832,-4.0E-6
USDJPY=X,2023,2,137.271463,137.271463,0.0
USDJPY=X,2023,3,144.478662,144.478662,0.0
USDJPY=X,2023,4,147.876384,147.876384,0.0
USDJPY=X,2024,1,148.241293,148.24057,-5.0E-6
USDJPY=X,2024,2,155.702553,155.702722,1.0E-6
USDJPY=X,2024,3,149.460697,149.460697,0.0
USDJPY=X,2024,4,152.166446,152.169231,1.9E-5
