Pair,Feature,Coefficient,R2,Adjusted_R2,MSE
USDJPY=X,Japan_Imports,16.387894934289537,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_IndustrialProduction,10.83014765631971,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_CPI,9.36805990079581,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_Exports,9.346504051245555,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_HousePrice,7.695870332883414,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_UnemploymentRate,6.504162763647586,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_IndustrialProduction,4.981687196018705,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_RetailSalesVolume,3.893056425689111,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_DebtToGDP,1.3855609120125933,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_UnemploymentRate,-0.14500935915486934,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_ConsumerConfidence,-0.9250068519899954,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_GDP,-2.441935330411717,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_DebtToGDP,-2.4454255463302292,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_RetailSalesVolume,-2.5181148174700407,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_GDP,-3.2928123044143014,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_RetailSalesValue,-3.5112698050399613,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_InterestRate,-5.5366421957033145,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_CPI,-7.087244524897839,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_ConsumerConfidence,-7.8739395627669415,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_Exports,-8.756023966036574,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_ForeignReserves,-9.042679650613712,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_InterestRate,-9.600552890899444,1.0,1.0,7.472090494253424e-28
USDJPY=X,Japan_HousePrice,-10.560208137082528,1.0,1.0,7.472090494253424e-28
USDJPY=X,US_Imports,-18.271647350532387,1.0,1.0,7.472090494253424e-28
